event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
http://www.artbarcelona.es/wp-content/uploads/2015/03/abe_inauguracion_es.png,Galería Miguel Marcos,,http://www.artbarcelona.es/es/exposiciones/asteriscos-rotos/,Dennis Hollingsworth,,09.06.16 – 29.07.16,Galería Miguel Marcos,Asteriscos rotos,"La Galería Miguel Marcos se complace en invitarles a la exposición Asteriscos rotos, que presenta la obra reciente del artista americano Dennis Hollingsworth (Los Ángeles, EE. UU., 1956).
Contextualizado en sus inicios en el marco de los nuevos expresionistas americanos, su actitud ante el arte y la pintura se materializaron en una aporía inducida por una fascinación romántica con lo ilimitado y en un extraño deseo de desmaterializar la pintura en “pura visualidad”.
En la obra de Hollingsworth se plantean algunas de las cuestiones básicas del arte abstracto como el poder absoluto del arte, la emancipación de convenciones y la revolución espiritual para expresar aquello que resta oculto a los sentidos.
En palabras del crítico de arte Juan Bufill, “La obra de Dennis Hollingsworth (1956) me parece un excelente y claro ejemplo de pintura propia del siglo XXI, diferente de la pintura anterior, de la cual es una consecuencia. Su pintura es abstracta y a la vez muy física y concreta. Ciertos aspectos de ella permitirían definirla como materialista, o también estructuralista, pues posee una subrayada sintaxis plástica, donde se despliegan y relacionan un determinado repertorio de elementos formales y materiales y de procedimientos técnicos. Pero al mismo tiempo es una pintura que no se conforma con desplegar ejercicios de estilo de carácter estructuralista y sabe evocar y sugerir experiencias vitales y existenciales”.
La introspección por las técnicas de la creación lleva al artista a nuevas maneras de concebir el acto creativo. Esta nueva dirección en la que mantendrá la esencia de su obra, se caracterizará por la importancia del dibujo, así como por la introducción de nuevos elementos como los asteriscos, motivo naturalista que nos recuerda que hay algo oculto tras el mismo, y que nos acerca a un aura de mediterraneidad.
En sus cuadros se observa el torbellino multicolor de su paleta, que se torna casi fauvista combinada con la psicoanálisis de la creación, dando lugar a una obra cargada de simbolismo y emociones, en la que se intuyen la libertad y la contención, el libre albedrío y la matemática pura, el caos originario y la más armoniosa confusión de la fantasía.
En su estética Theodor Adorno decía que “las obras de arte son algo más que existencia, pero no por causa de algo existente, sino por su lenguaje” (Teoría Estética, Taurus, 1992). A pesar de que en Hollingsworth asistimos a una reconceptualización de las maneras de entender y hacer el arte, su obra está cargada de reminiscencias a la tradición de las vanguardias artísticas y en ellas se percibe la influencia de Joan Miró, André Breton o Jason Pollock, entre otros. La desmaterialización de la pintura fruto de la estética conceptual de los 50, le lleva a una estética puramente visual, en la cual el óleo se convierte en el eje principal del cuadro y el aliento creativo del pintor da lugar a obras en las que se concentran las distintas fuerzas de la naturaleza.
El conjunto de obras seleccionadas para esta exposición están cargadas de simbolismo mediterráneo, expresado mediante los asteriscos que representan los múltiples rumbos de los barcos, así como las preponderantes fuerzas ocultas del mar a la caída del sol, con un tono anaranjado que augura la noche. Un oasis de paz que se presenta oculto a nuestros sentidos.
Las obras de Hollingsworth forman parte de las colecciones del MoCA Museum of Contemporary Art (Los Ángeles, EE. UU) y el PAMM Pérez Art Museum of Miami (Miami, EE. UU).",null,null,null,http://www.artbarcelona.es/es/exposiciones/asteriscos-rotos/
http://www.artbarcelona.es/wp-content/uploads/2016/05/panoramica.jpg,Galería Joan Gaspar,,,Gerard Rosés,26.05.16 – 15.07.16,26.05.16 – 15.07.16,Galería Joan Gaspar,"“Pequeños placeres, 36 años pintando. Gerard Rosés”",,null,null,null,http://www.artbarcelona.es/es/exposiciones/pequenos-placeres-36-anos-pintando-gerard-roses/
http://www.artbarcelona.es/wp-content/uploads/2016/05/MVI_5867.00_00_09_26.Imagen-fija001.jpeg,Victor Lope Arte Contemporáneo,,,Johan Barrios,27.05.16 – 18.06.16,27.05.16 – 18.06.16,Victor Lope Arte Contemporáneo,The happening of an idea,,null,null,null,http://www.artbarcelona.es/es/exposiciones/the-happening-of-an-idea/
http://www.artbarcelona.es/wp-content/uploads/2016/06/actors-parats.jpg,Galería Eude,,,Pilar Aymerich,02.06.16 – 17.09.16,02.06.16 – 17.09.16,Galería Eude,La Barcelona de Pilar Aymerich,,null,null,null,http://www.artbarcelona.es/es/exposiciones/la-barcelona-de-pilar-aymerich/
http://www.artbarcelona.es/wp-content/uploads/2016/05/Juliette-Binoche-Rinko-Kikuchi.-Finse-Noruega-2014.jpg,RocioSantaCruz,,,Isabel Coixet,26.05.16 – 11.06.16,26.05.16 – 11.06.16,RocioSantaCruz,Faces,,null,null,null,http://www.artbarcelona.es/es/exposiciones/faces/
http://www.artbarcelona.es/wp-content/uploads/2016/05/Juliette-Binoche-Rinko-Kikuchi.-Finse-Noruega-2014.jpg,RocioSantaCruz,,http://www.artbarcelona.es/es/exposiciones/faces/,Isabel Coixet,,26.05.16 – 11.06.16,RocioSantaCruz,Faces,"FACES reúne 52 fotografías realizadas por la directora Isabel Coixet tomadas durante los rodajes de sus películas. Rostros y retratos de una variedad de actores y actrices como Tim Robbins, Juliette Binoche, Rinko Kikuchi y escritores como Henning Mankell y John Berger.
Isabel Coixet y la galería RocioSantaCruz destinarán el beneficio de las ventas de esta exposición a Proactiva Open Arms, ONG nacida en Badalona que desarrolla su acción humanitaria socorriendo a los refugiados en Lesbos.",null,null,null,http://www.artbarcelona.es/es/exposiciones/faces/
http://www.artbarcelona.es/wp-content/uploads/2016/06/actors-parats.jpg,Galería Eude,,http://www.artbarcelona.es/es/exposiciones/la-barcelona-de-pilar-aymerich/,Pilar Aymerich,,02.06.16 – 17.09.16,Galería Eude,La Barcelona de Pilar Aymerich,"Las fotografías de Pilar Aymerich que se exponen en Eude son un documento significativo de como se desarrolló la Transición a pie de calle. Según Aymerich “Eran unos tiempos en que la gente era muy reivindicativa y, además, tenían la inocencia de querer cambiar la sociedad.”

Del mismo modo que captó el momento de la Transición y los acontecimientos que llevarían hacia la democracia, la mirada de Aymerich penetra de una manera natural y rigurosa tanto en los retratos de las personas que se manifestaban en la calle como de las personalidades de la cultura de aquellos años.

La muestra a Eude conmemora las primeras Jornades Catalanes de la Dona y, también, es un homenaje a Montserrat Roig y Maria Aurèlia Capmany, a los 25 años de su fallecimiento.",null,null,null,http://www.artbarcelona.es/es/exposiciones/la-barcelona-de-pilar-aymerich/
http://www.artbarcelona.es/wp-content/uploads/2015/03/abe_inauguracion_es.png,Galería Miguel Marcos,,,Dennis Hollingsworth,09.06.16 – 29.07.16,09.06.16 – 29.07.16,Galería Miguel Marcos,Asteriscos rotos,,null,null,null,http://www.artbarcelona.es/es/exposiciones/asteriscos-rotos/
http://www.artbarcelona.es/wp-content/uploads/2016/05/panoramica.jpg,Galería Joan Gaspar,,http://www.artbarcelona.es/es/exposiciones/pequenos-placeres-36-anos-pintando-gerard-roses/,Gerard Rosés,,26.05.16 – 15.07.16,Galería Joan Gaspar,"“Pequeños placeres, 36 años pintando. Gerard Rosés”","El próximo día 26 de mayo, de 19:00 a 22:00, inauguramos la exposición “Pequeños placeres, 36 años pintando. Gerard Rosés”.
Recorremos la trayectoria del pintor del Maresme, des de sus inicios -1980- hasta la actualidad -2016-. Veréis como se trata de una exposición singular. El cartón és el material predominante en la exposición.
El catálogo de la exposición contiene textos de Vicenç Altaió y Katinka Rosés Becker.
¡Os esperamos!",null,null,null,http://www.artbarcelona.es/es/exposiciones/pequenos-placeres-36-anos-pintando-gerard-roses/
http://www.artbarcelona.es/wp-content/uploads/2016/05/MVI_5867.00_00_09_26.Imagen-fija001.jpeg,Victor Lope Arte Contemporáneo,,http://www.artbarcelona.es/es/exposiciones/the-happening-of-an-idea/,Johan Barrios,,27.05.16 – 18.06.16,Victor Lope Arte Contemporáneo,The happening of an idea,"“The happening of an idea” es la nueva exposición de Johan Barrios ( Colombia, 1984 ) producida para el LOOP Festival. En la exposición, se presentan un grupo de obras que nos hablan de la acción efímera que reflexiona en torno a la construcción y deconstrucción de la imagen. En la muestra se cuestiona la dualidad existente entre la reivindicación cada vez mas evidente del deseo de anonimato y la “publicación” continua de nuestras vidas a través de las nuevas tecnologías. La masiva cantidad de contenido que se comparte provoca una banalización de las imágenes mostradas, transformando la información en objeto de consumo rápido y efímero de las vidas ajenas.
La obra de vídeo presentada, una acción performativa, refleja la enigmática naturaleza de la obra en papel mostrada. La nueva muestra es la continuación natural de “Ejercicios de Ruptura”, anterior exposición del artista en la galería en el marco del programa Art Nou, donde el artista ya nos hablaba sobre la idea de capturar lo efímero de una imagen performativa en una obra de arte.",null,null,null,http://www.artbarcelona.es/es/exposiciones/the-happening-of-an-idea/
